Year,State,Type,Number,Companion,URL,Status,Description,Author/Sponsor,Level,Open Mentioned,Enacted,,,,47
2016,California,Legislation,AB 798,,http://www.legislature.ca.gov/cgi-bin/port-postquery?bill_number=ab_798&sess=CUR&house=B&author=bonilla_%3Cbonilla%3E,"Signed by the Governor 
& Enacted (2015)","College Textbook Affordability Act of 2015: The purpose of this bill is to reduce textbook costs for college students and encourage faculty to accelerate the adoption of lower cost, high-quality open educational resources. This bill creates the Open Educational Resources Adoption Incentive Fund to provide incentives and reward campus, staff, and faculty efforts to accelerate the adoption of open educational resources",Susan Bonilla,Higher Ed,yes,yes,,,,
2016,California,Legislation,SB 825,AB 1598,http://www.legislature.ca.gov/cgi-bin/port-postquery?bill_number=sb_825&sess=CUR&house=B&author=leno_%3Cleno%3E,Introduced - Read first time - 1/7/16; From Budget and F.R. Committee with author's amendments - read second time and amended. Re-referred to Budget and F.R. Committee - 5/26/16,"Budget Act of 2016. This is a budget act, however, this bill makes funds available for open educational resources and zero-textbook-cost degrees for high need students that reduce costs for students in community colleges.",Anthony Rendon,Higher Ed,yes,no,,,,
2017,California,Adjourned,AB 96,,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB96&search_keywords=%22open+educational+resources%22,"Introduced and read first time - 01/10/2017 

Referred to Budget Committeee - 01/19/2017

Amended and re-referred to Budget Committee - 06/02/2017","Budget Act of 2017: This bill is an appropriations bill, however it allows funding to be used for increased services for high-needs students, which may include the development of open educational resources and zero-textbook-cost degrees that reduce costs for students. Community college districts utilizing resources for this purpose are encouraged to first develop open educational resources and zero-textbook-cost degrees for courses that are transferable to other schools within the state. ",Ting,Higher Ed,Yes,No,,,,
2017,California,Adjourned,AB 97,,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB97&search_keywords=%22open+educational+resources%22,Signed by Governor - 06/27/2017,"Budget Act of 2017: This bill is an appropriations bill, however it allows funding to be used for increased services for high-needs students, which may include the development of open educational resources and zero-textbook-cost degrees that reduce costs for students. Community college districts utilizing resources for this purpose are encouraged to first develop open educational resources and zero-textbook-cost degrees for courses that are transferable to other schools within the state.",Ting,Higher Ed,Yes,Yes,,,,
2017,California,Adjourned,SB 135,,http://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180SB135,"Passed Senate - 05/30/2017

In Assembly, referred to Education Committee - 06/08/2017    

Amended and re-referred to Education Committee - 07/03/2017

September 1 meeting: held in committee and under submission - 09/01/2017",Media Literacy: The SBE shall ensure that media literacy is integrated into social science curricula for grades 1-12. Components may be designed to include the ability to measure 21st century skills of teachers and pupils so that teachers may effectively use technology and digital resources within their instructional day.  The department shall make available to school districts on its Internet website a list of resources and materials on media literacy. ,Dodd,K-12,No,No,,,,
2017,California,Adjourned,SB 203,,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180SB203,"Introduced and referred to Committee on RLS - 01/31/2017

Referred to Education Committee - 02/9/2017

Passed Committee as amended, re-referred to Appropriations Committee - 04/26/2017

Hearing: held in committee and under submission - 05/25/2017","Pupil Instruction: This bill would require the Department of Education to identify best practices and recommendations for instruction in digital citizenship, Internet safety, and media literacy, The advisory committee created under this bill shall make recommendations relating to school district processes necessary to develop customized school district policies and procedures on electronic resources and Internet safety. Further a school district shall annually review their policies and conisder customizing the model policy and procedures on electronic resources and consider existing school district resources.",Jackson,K-12,No,No,,,,
2017,California,Adjourned,SB 72,,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180SB72,"Introduced and read first time - 01/10/2017 

Referred to Committee on B. & F.R. - 01/11/2017

Read second time and amended, re-referred to Committee on B. & F.R. - 05/26/2017","Budget Act of 2017: This bill is an appropriations bill, however it allows funding to be used for increased services for high-needs students, which may include the development of open educational resources and zero-textbook-cost degrees that reduce costs for students. Community college districts utilizing resources for this purpose are encouraged to first develop open educational resources and zero-textbook-cost degrees for courses that are transferable to other schools within the state. ",Mitchell,Higher Ed,Yes,No,,,,
2017,California,Adjourned,SB 727,,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180SB727&search_keywords=textbooks,Ordered to inactive file on request of Senator Galgiani - 09/13/2017,"Innovative Pricing: This bill allows public postsecondary educational institutions to adopt policies to allow for the use of innovative pricing techniques and payment options for textbooks and other instructional materials. This includes bulk pricing arrangements that allow students to purchase materials or texts delivered: digitally, through a technology that is, or the license of which is, required to only be used within a course, in a print format. Innovative pricing techniques may only be adopted if it would actually reduce the cost of textbooks or other instructional materials.",Galgiani,Higher Ed,No,No,"inclusive access models, chilling effect on OER efforts",,,
2018,California,Legislation,AB 1806,,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB1806&search_keywords=%22open+educational+resources%22,"Introduced and read first time - 01/10/2018

Amended - 05/31/2018

Re-referred to Budget Committee - 06/04/2018","Budget Act of 2018: This bill includes funding to increase services for high-needs students, including the development of open educational resources and zero-textbook-cost degrees that reduce costs for students. Community college districts utilizing resources for this purpose are encouraged to first develop open educational resources and zero-textbook-cost degrees for courses that are transferable.",Ting,Higher Ed,Yes,No,,,,
2018,California,Legislation,AB 1809,,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB1809,Signed by the Governor - 06/27/2018,"This bill would appropriate $6,000,000 from the General Fund to the Board of Governors of the California Community Colleges for the 2018-19 fiscal year to support the development of, and expansion of the use of, open educational resources for the California Community Colleges. The bill would require the Academic Senate for the California Community Colleges to submit a report, including specified data related to the progress of supporting and expanding the use of open educational resources pursuant to the bill. This bill also establishes the California Online Community College and requires the college to utilize and leverage the programs and activities of the chancellor's office, including the Zero-Textbook-Cost Degree Grant Program and Open Educational Resources. ",Committee on Budget    ,Higher Ed,Yes,Yes,,,,
2018,California,Legislation,AB 2075,,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB2075,"Introduced - 02/07/2018

Amended and read second time - 04/19/2018 (this amendment added reference to textbooks)

Re-referred to Committee on RLS, pursuant to Assembly Rule 96 - 05/03/2018","Existing law states that the Legislature finds and declares that the production and pricing of college textbooks deserves a high level of attention from educators and lawmakers because they impact the quality and affordability of higher education. This bill would prohibit the campuses of the University of California, the California State University, the California Community Colleges, independent institutions of higher education, and private postsecondary educational institutions in this state from requiring their students to purchase bundled textbooks and would require faculty at these institutions to inform their students of the most economically viable options for purchasing textbooks.",Quirk-Silva,Higher Ed,No,No,,,,
2018,California,Legislation,AB 2385,,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB2385&search_keywords=textbooks,Signed by the Governor - 08/27/2018,"Existing state law urges textbook publishers to take specified actions aimed at informing students about, and reducing the amounts that students pay for, college textbooks. Among those actions, existing law urges textbook publishers to provide to faculty and departments considering textbook orders, and to post on their Internet Web sites, among other things, an explanation of how the newest edition is different from previous editions.

This bill would instead urge textbook publishers to post in a prominent location on their Internet Web sites, among other things, a detailed description of how the newest edition differs from the previous edition.

Further, California State University and California Community Colleges are requested to encourage faculty to give consideration to the least costly practices in assigning textbooks, such as adopting the least expensive edition when the educational content is equal.",Cunningham,Higher Ed,No,Yes,,,,
2018,California,Legislation,AB 2609 ,,http://leginfo.legislature.ca.gov/faces/billHistoryClient.xhtml?bill_id=201720180AB2609,"Introduced - 02/15/2018 

Referred to Education Committee - 03/08/2018

Amended and re-referred to Education Committee. Read second time and amended - 04/12/2018

Re-referred to Education Appropriations - 04/26/2018

Referred to Appropriations Suspense File - 05/09/2018

In committee: Held under submission - 05/25/2018","This bill would establish the California Scientists-to-Teacher Pathway Program for the purpose of recruiting, training, supporting, and retaining qualified STEM scientists as STEM teachers in kindergarten and grades 1-12. To be eligible to receive funding under this program, applicants must demonstrate an ability to develop open education resources that are culturally responsive and can be used as outreach statewide to encourage interested STEM scientists to pursue second careers as mathematics and science teachers.",O'Donnell,K-12,Yes,No,,,,
2018,California,Legislation,SB 135 (2017),,http://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180SB135,"Passed Senate - 05/30/2017

In Assembly, referred to Education Committee - 06/08/2017    

Amended and re-referred to Education Committee - 07/03/2017

September 1 hearing: held in committee and under submission - 09/01/2017",Media Literacy: The SBE shall ensure that media literacy is integrated into social science curricula for grades 1-12. Components may be designed to include the ability to measure 21st century skills of teachers and pupils so that teachers may effectively use technology and digital resources within their instructional day.  The department shall make available to school districts on its Internet website a list of resources and materials on media literacy. ,Dodd,K-12,No,No,,,,
2018,California,Legislation,SB 203 (2017),,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180SB203,"Introduced and referred to Committee on RLS - 01/31/2017

Passed Education Committee as amended, re-referred to Appropriations Committee - 04/26/2017

Hearing: held in committee and under submission - 05/25/2017

Returned to Secretary of Senate - 02/01/2018","Pupil Instruction: This bill would require the Department of Education to identify best practices and recommendations for instruction in digital citizenship, Internet safety, and media literacy, The advisory committee created under this bill shall make recommendations relating to school district processes necessary to develop customized school district policies and procedures on electronic resources and Internet safety. Further a school district shall annually review their policies and consider customizing the model policy and procedures on electronic resources and consider existing school district resources.",Jackson,K-12,No,No,,,,
2018,California,Legislation,SB 839,,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180SB839&search_keywords=%22open+educational+resources%22,"Introduced, read first time, and referred to Committee on B. & F.R. - 01/10/2018

Read second time and amended, re-referred to Committee on B. & F.R. - 05/24/2018","Budget Act of 2018: This bill includes funding to increase services for high-needs students, including the development of open educational resources and zero-textbook-cost degrees that reduce costs for students. Community college districts utilizing resources for this purpose are encouraged to first develop open educational resources and zero-textbook-cost degrees for courses that are transferable.",Mitchell,Higher Ed,Yes,No,,,,
2018,California,Legislation,SB 840,,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180SB840&search_keywords=%22open+educational+resources%22,Signed by the Governor - 06/27/2018,"This budget bill would require funding for California Community Colleges to provide textbooks or digital course content to inmates under the jurisdiction of the Department of Corrections and Rehabilitation who are enrolled in one or more California Community College courses. To the extent possible, community college districts providing textbooks or digital course content are encouraged to first use open educational resources.",Mitchell,Higher Ed,Yes,Yes,,,,
2018,California,Legislation,SB 843,,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180SB843&search_keywords=%22open+educational+resources%22,"Amended (this amendment added OER to the bill) - 06/12/2018

Ordered to third reading - 06/14/2018

Re-referred to Budget Committee pursuant to Assembly Rule - 08/13/2018","This bill would appropriate $6,000,000 from the General Fund to the Board of Governors of the California Community Colleges for the 2018-19 fiscal year to support the development of, and expansion of the use of, open educational resources for the California Community Colleges. The bill would require the Academic Senate for the California Community Colleges to submit a report, including specified data related to the progress of supporting and expanding the use of open educational resources pursuant to the bill.
This bill also establishes the California Online Community College and requires the college to utilize and leverage the programs and activities of the chancellor's office, including the Zero-Textbook-Cost Degree Grant Program and Open Educational Resources.",Committee on Budget and Fiscal Review,Higher Ed,Yes,No,,,,
2018,California,Legislation,SB 947,,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180SB947&search_keywords=%22electronic+resources%22,"Vetoed by the governor - 09/18/2018; In Senate, consideration of Governor's veto pending - 09/18/2018","Pupil Instruction: This bill would require the Department of Education, on or before January 1, 2021, to identify best practices and recommendations for instruction in digital citizenship, Internet safety, and media literacy, The advisory committee created under this bill shall make recommendations relating to school district processes necessary to develop customized school district policies and procedures on electronic resources and Internet safety that can be used within a school district technology plan. ",Jackson,K-12,No,No,,,,
2018,California,Legislation,SB 1096,,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180SB1096&search_keywords=textbooks,"Introduced, referred to Committee on RLS for assignment - may be acted upon on or after March 16 - 02/14/2018

Referred to Committee on RLS - 02/22/2018

","Existing law requires, as a condition of receipt of funds for instructional materials from any state source, the governing board of a school district to take specified actions, including holding a public hearing or hearings at which the governing board of the school district makes a determination, through a resolution, as to whether each pupil in each school in the school district has sufficient textbooks or instructional materials, or both, that are aligned to specified content standards in each of specified subjects. This bill would express the intent of the legislature to enact legislation that would clarify the requirements of that provision in regard to online instructional materials.",Anderson,K-12,No,No,,,,
2016,Colorado ,Legislation,HB 16-1222,,http://www.leg.state.co.us/clics/clics2016a/csl.nsf/fsbillcont/B08F6533D6C9DDEC87257F3F006F4D9E?Open&file=1222_01.pdf,Signed by the Governor - 6/10/16,"Empowering Digital Learning for All Act: Concerning increasing the availability of supplemental online education resources and creating the statewide supplemental online and blended learning program - The goal of this program is to significantly improve statewide educational equity by delivering educational services through the digital learning environment - this will subsidzie the provision of supplemental online education courses, professional development, and technical assistance to implement","Bob Rankin, Max Tyler, Nancy Todd, Owen Hill",K-12,no,yes,,,,
2017,Colorado ,Adjourned,SB 258,,http://leg.colorado.gov/bills/sb17-258,Signed by Governor - 05/03/2017,"Using Open Educational Resources in Higher Education: This bill creates the open educational resources council in the Department of Higher Education. The Department is required to contract with an entity to evaluate the existing use of OER by public institutions of higher education and consider the options for and obstacles to increasing the use of OER. The council must facilitate the work of the contracting entity, and, taking into account the findings of the contracting entity, recommend initiatives to expand the use of OER, resulting in cost savings and other educational benefits for students enrolled.","Lundberg, Lambert, Moreno, Rankin, Hamner, Young",Higher Ed,Yes,Yes,,,,
2018,Colorado ,Legislation,HB 18-1331,,http://leg.colorado.gov/bills/hb18-1331,Signed by the Governor - 04/30/2018,"This bill creates the Colorado open educational resources council in the department of higher education. This council is directed to recommend statewide policies for promoting the adaptation, creation, and use of open educational resources at public institutions of higher education; facilitate professional development and the sharing of knowledge regarding open educational resources for public institutions of higher education; implement the open educational resources grant program created in the bill; and submit an annual report concerning the use of open educational resources in public institutions of higher education across the state. Finally, this bill creates the grant program to provide grants to public institutions of higher education to develop the use of open educational resources at the institutions and grants to faculty and staff to create and adapt open educational resources.","Young, Rankin, Lundberg",Higher Ed,Yes,Yes,,,,
2015,Connecticut,Legislation,HB 6117,,https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&which_year=2015&bill_num=6117,Signed and Enacted (Special Act 15-18),"Special Act 15-18 An Act Concerning the Use of Digital Open-Source Textbooks in Higher Education: This bill establishes an open-source textbook pilot program to assess the use of high-quality digital open-source textbooks and to promote the use of those textbooks. The report shall include an analysis of the cost savings to students for 		courses using an open-source textbook instead of a  traditional college-level textbook and any potential barriers to the effective use of open-source textbooks by students and faculty. This establishes a task force to study best practices re: open educational resources
","Gregg Haddad, Mae Flexer ",Higher Ed,yes,yes,2/3/2016,,,
2017,Connecticut,Adjourned,HB 7235,,https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&which_year=2017&bill_num=7235,"Introduced, referred to Joint Committee on Higher Education and Employment Advancement - 03/02/2017

Joint Favorable Substitute - 03/16/2017

Favorable report, tabled for the calendar, House - 04/03/2017","An Act Concerning the Recommendations of the Open Educational Resources Task Force: Under this bill, the Office of Higher Education is required to establish the Open Educational Resource Coordinating Council. This council shall identify courses for which open educational resources will be developed; establish a program of competitive grants for the development or adoption of open educational resources; accept, review, and approve Creative Commons attribution license applications for the development of open educational resources, the conversion of printed resources to open educational resources; administer a standardized review and approval process for the development of open educational resources; establish a state-sponsored digital clearinghouse to store and collect resources; and promote strategies for the production, use and access of resources.",Higher Education and Employment Advancement Committee,Higher Ed,Yes,No,,,,
