Year,State,Type,Number,Companion,URL,Status,Description,Author/Sponsor,Level,Open Mentioned,Enacted
2016,Colorado ,Legislation,HB 16-1222,,http://www.leg.state.co.us/clics/clics2016a/csl.nsf/fsbillcont/B08F6533D6C9DDEC87257F3F006F4D9E?Open&file=1222_01.pdf,Signed by the Governor - 6/10/16,"Empowering Digital Learning for All Act: Concerning increasing the availability of supplemental online education resources and creating the statewide supplemental online and blended learning program - The goal of this program is to significantly improve statewide educational equity by delivering educational services through the digital learning environment - this will subsidzie the provision of supplemental online education courses, professional development, and technical assistance to implement","Bob Rankin, Max Tyler, Nancy Todd, Owen Hill",K-12,no,yes
2016,Florida,Legislation,HB 7019,SB 984,http://www.flsenate.gov/Session/Bill/2016/7019,Signed by Governor - 4/14/16,"Postsecondary Access and Affordability. Each Florida College System Institution and state university shall adopt textbook and instructional materials affordability policies, procedures and guidelines in order to minimize the costs of textbooks. This includes course instructors using open-access textbooks, where possible and instructors are encouraged to develop, adapt, and review open-access textbooks especially in high-demand general education courses.","Elizabeth Porter, Frank Artiles, Robert Cortes",Higher Ed,yes,yes
2016,Florida,Legislation,HB 899,SB 1018,http://www.flsenate.gov/Session/Bill/2016/0899/?Tab=BillHistory,Died in K-12 subcommittee - 3/11/16,"An Act Relating to Instructional Materials for K-12 Public Education: The district school board has the constitutional duty and responsibility to select and provide adequate instructional materials for all students in accordance with the requirements under this Act - instructional materials is defined to include electronic content, electronic media, computer courseware or software, so long as it is designated for student use",Ray Pilon,K-12,no,no
2016,Florida,Legislation,SB 1018,HB 899,http://www.flsenate.gov/Session/Bill/2016/1018/?Tab=BillHistory,Died in Education Pre-K - 3/11/16,"An Act Relating to Instructional Materials for K-12 Public Education: The district school board has the constitutional duty and responsibility to select and provide adequate instructional materials for all students in accordance with the requirements under this Act - instructional materials is defined to include electronic content, electronic media, computer courseware or software, so long as it is designated for student use",Alan Hays,K-12,no,no
2016,Florida,Legislation,SB 984,HB 7019,http://www.flsenate.gov/Session/Bill/2016/0984,Substituted HB7019 - Laid on table - Refer to HB7019 - 3/9/16,"Education Access and Affordability: This bill requires each Florida College System Institution and state university board of trustees to examine the cost of textbooks and instructional materials for all general education courses offered at an institution to determine affordability. One factor they must look at is whether any course instructors or academic departments are using open-access textbooks and instructional materials, particularly in high-demand general education courses.",John Legg,Higher Ed,yes,no
2016,Hawaii,Legislation,HB 2267,SB 2606,http://www.capitol.hawaii.gov/measure_indiv.aspx?billtype=HB&billnumber=2267&year=2016,Signed by Governor as Act 112 - 6/22/16,"Curricular Materials in Digital Format: A publisher or manufacturer that submits printed curricular materials to be used in public schools on or after July 1, 2016, shall ensure that such printed curricular materials are also available in an equivalent digital format - any money allocated for printed curricular materials may also be used to purchase digital formats of the curricular materials","Takashi Ohno, Tom Brower, Cindy Evans, Kaniela Ing, Ken Ito, Jo Jordan, Jarrett Keohokalole, Chris Lee, Sylvia Luke, John Mizuno, Dee Morikawa, Marcus Oshiro, Gregg Takayama, Roy Takumi, James Tokioka, Ryan Yamane",K-12,no,yes
2016,Hawaii,Legislation,SB 2606,HB 2267,http://www.capitol.hawaii.gov/measure_indiv.aspx?billtype=SB&billnumber=2606&year=2016,Amended and passed second reading in Senate - 2/8/16; Referred to WAM,"Curricular Materials in Digital Format: A publisher or manufacturer that submits printed curricular materials to be used in public schools on or after July 1, 2016, shall ensure that such printed curricular materials are also available in an equivalent digital format - any money allocated for printed curricular materials may also be used to purchase digital formats of the curricular materials","Mark Nakashima, Joseph Souki",K-12,no,no
2016,Idaho,Legislation,HB 526,,https://www.legislature.idaho.gov/legislation/2016/H0526.htm,"Signed by Governor - 3/23/16 - Effective 7/1/16
Earlier version introduced as HB 450",Literacy Intervention: This requires each school district and public charter school to establish a literacy intervention program for students who have low scores on reading assessments in K-3rd grade. The program may include online or digital instructional materials or programs or library resources ,Education Committee,K-12,no,yes
2016,Illinois,Legislation,HB 3190,,http://www.ilga.gov/legislation/BillStatus.asp?DocNum=3190&GAID=13&DocTypeID=HB&LegID=89338&SessionID=88&GA=99&SpecSess=0,"Re-referred to Rules Committee - 6/30/16
Earlier version introduced as HB 6019","This provides funding for school safety, textbooks and software, electronic textbooks and the technological equipment necessary to gain access to and use electronic textbooks ","William Davis, Camille Y. Lilly, Kimberly A. Lightford, Iris Martinez, William Delgado",K-12,no,no
2016,Illinois,Legislation,SB 0001,,http://www.ilga.gov/legislation/billstatus.asp?DocNum=0001&GAID=13&GA=99&DocTypeID=SB&LegID=83715&SessionID=88,Senate Amended & referred to Assignments 10/10/15; Co-sponsor added 1/27/16,"School Safety and Educational Improvement Block Grant Program:  This program provides funding for school safety, textbooks and software, electronic textbooks and the technological equipment necessary to gain access to and use electronic textbooks ",Andy Manar,K-12,no,no
2016,Illinois,Legislation,SB 231 (S Amendment 1),,http://www.ilga.gov/legislation/BillStatus.asp?DocNum=231&GAID=13&DocTypeID=SB&LegID=84192&SessionID=88&GA=99&SpecSess=0,Re-referred to Rules Committee - 6/30/16,"School Safety and Educational Improvement Block Grant Program:  This program provides funding for school safety, textbooks and software, electronic textbooks and the technological equipment necessary to gain access to and use electronic textbooks ","Andy Manar, Michael Noland, Jacqueline Collins, Heather Steans, Martin Sandoval",K-12,no,no
2016,Iowa,Legislation,HF 2312,,https://www.legis.iowa.gov/legislation/BillBook?ga=86&ba=HF2312,"Introduced, read first time and referred to education - 2/23/16 (Successor to HF2034)","An act relating to permissible uses of supplemental aid for professional development paid to school districts and area education agencies under the state school foundation program: Schools receive funds for professional development, with which school districts must create quality professional development opportunities. The funds available may then be used for professional development to teachers, additional salaries, substitute teachers, and textbooks and curriculum materials for classroom purposes, if purchase of such textbooks and curriculum materials includes professional development. This bill expands the use of funds that schools receive as supplemental aid for professional development.",Committee on Education - Successor to HF2034,K-12,no,no
2016,Louisiana,Legislation,HCR 80,,http://www.legis.la.gov/legis/BillInfo.aspx?i=230583&sbi=y,Signed by Speaker of House - 5/18/16; Signed by President of Senate - 5/19/16; Presented to Secretary of State - 5/20/16,"This resolution establishes the Virtual Library Study Commission to conduct a study and make recommendations regarding the development of a statewide virtual library - OERs representing the development of shared online accessible textbook collections, can bring educational costs down considerably while making efficient use of tax dollars",Steve Carter,Higher Ed,yes,yes
2016,Maine,Legislation,LD 1207,,https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280055974,Dead,"Resolve to Implement an Online Professional Development Platform for Teachers and Educators: This bill requires the Dept of Education to develop a plan to implement an online professional development platform for teachers and educators. The research and analysis conducted by the department before implementing this platform, require the department to examine online professional development platforms for teachers that include links to open-source educational resources ",Brian Hubbell,K-12,yes,no
2016,Maine,Legislation,LD 391,,https://legislature.maine.gov/bills/display_ps.asp?snum=127&paper=HP0257&PID=1456,Dead,"Resolve to Create a State Run Virtual Academy Providing Maine Students with Access to Online Learning through their Existing School Districts: This bill creates a group that is required to develop plans to establish online and digital learning opportunities, which may include a state-administered virtual academy and a state-administered digital learning exchange, that provide all public schools in the State access to online instruction, online courses, and digital learning resources for their students. The group must ensure that any digital learning exchange provides expanded digital learning opportunities to all Maine students and establishes a clearinghouse of open educational resources available to all educators, parents, and students",Brian Hubbell,K-12,yes,no
2016,Maryland,Legislation,SB 1041,,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=billpage&stab=01&id=sb1041&tab=subject3&ys=2016RS,Passed Senate - 4/7/16; Referred to House Ways and Means - favorable report by Ways and Means - 4/11/16,"Physical and Digital Infrastructure in the Public Schools - Assessment: On or before Dec. 1, 2019, each local school system will be required to implement a policy that provides for the use of a digital device by every student during the school day. This Act is to encourage schools to develop innovative uses of technology to enhance classroom instruction and learning opportunities for students.",Jim Rosapepe,K-12,no,no
2016,Massachusetts,Legislation,H 4060,,https://malegislature.gov/Bills/189/H4060,"Reported from Committee on Higher Education - New draft of H1076 - Resolve reported favorably by committee on referred to the committeee on Rules of the two branches, acting concurrently - 3/10/16","A Resolve Establishing a Special Commission Relative to Reducing the Costs Associated with the Purchase of College Textbooks: This bill establishes a special commission established to study the college textbook industry. The information this commission shall review includes offering a choice of digital texts, and exploring the effective use of E-textbooks, and open source material.  (Previously H1076)",Walter Timilty,Higher Ed,yes,no
2016,Massachusetts,Legislation,H 4201,,https://malegislature.gov/Bills/189/H4201,Passed Senate as amended - 5/26/16; House non-concurred in Senate amendment - 6/2/16; Committee of Conference appointed - 6/2/16 (See S2305); Reported from the committee of conference - 6/29/16,"The Dept. of Higher Ed. is authorized to establish suggested guidelines and protocols to encourage and assist colleges and universities in implementation of programs which reduce the cost of textbooks.  A commission is established for the purpose of studying college affordability - shall include affordability of college textbooks, including consideration of the costs and benefits of open source textbooks.",House Ways and Means Budget,Higher Ed,yes,no
2016,Massachusetts,Legislation,S 325,,https://malegislature.gov/Bills/189/Senate/S325,"Referred to Committee on Education (S); Hearing scheduled for 6/11/15 - Accompanied study order - reported favorably and referred to committee on Rules of the two branches, acting concurrently - 6/16/16; Discharged to the committee on Senate rules - 6/20/16","An Act Establishing a Special Commission relative to Digital Textbooks: This bill creates a commission to study and report on how to maximize the use of digital and open textbooks for grades K-12 and public colleges and universities. The commission must prepare a report to be submitted to the General Court by January 31, 2016",Marc Pacheco,K-12 & Higher Ed,yes,no
2016,Massachusetts,Legislation,S 675,,https://malegislature.gov/Bills/189/Senate/S675,"Accompanied a study order - S2214 - 4/7/16 (Order reported favorably by committeee and referred to the committee on Rules of the two branches, acting concurrently) - Discharged to the committee on Senate Rules - 4/11/16","An Act Relative to Open Textbooks: This bill creates the Massachusetts Open Source Digital Library, the purpose of which is to house open source materials and provide internet based ways for students, faculty, and staff to easily find, adopt, utilize or modify course materials at little or no cost",Michael Moore,Higher Ed,yes,no
2016,Minnesota,Legislation,HF 2499,SF 2719,https://www.revisor.mn.gov/bills/text.php?number=HF2499&version=0&session=ls89&session_year=2016&session_number=0,Introduced and referred to Higher Education Policy and Finance - 3/8/16,Reduction in Textbook Cost to Students: The Board of Regents from Univ. of Minn. and Board of Trustees of Minn. State Colleges and Universities must enter agreement that includes planned strategies for reducing costs - these strategies may include increased use of open-source textbooks and related materials,Paul Thissen,Higher Ed,yes,no
2016,Minnesota,Legislation,HF 2749,SF 2356,https://www.revisor.mn.gov/bills/text.php?number=HF2749&version=3&session=ls89&session_year=2016&session_number=0,Signed by Governor - 5/22/16,"Appropriations for the Board of Trustees of the Minnesota State Colleges and Universities: Appropriations for programs on system campuses that promote adoption of open textbooks. Programs must focus on review, creation, and promotion of new or existing open textbooks and on saving money for students while meeting the academic needs of faculty. This would also provide for an appropriation to expand and promote the open textbook library to faculty across the state.","Jim Knoblach, Jenifer Loon, Bud Nornes",Higher Ed,yes,yes
2016,Minnesota,Legislation,HF 3526,,https://www.revisor.mn.gov/bills/bill.php?b=House&f=HF3526&ssn=0&y=2016&keyword_type=all&keyword=open+textbooks,Introduced and referred to Higher Education Policy and Finance - 3/23/16,"Open Textbook Usage Encouraged:  Funds are appopriated for pilot programs on system campuses that promote adoption of open textbooks - these programs must focus on the review, creation, and promotion of new or existing open textbooks and on saving money for students while meeting the academic needs of faculty. Funds are also appropriated under this bill to expand and promote the open textbook library to faculty across the state","Josh Heintzeman, Bud Nornes",Higher Ed,yes,no
2016,Minnesota,Legislation,SF 2356,HF 2749,https://www.revisor.mn.gov/bills/bill.php?b=Senate&f=SF2356&ssn=0&y=2016&keyword_type=exact&keyword=open+textbooks,Passed Finance Committee - 4/25/16; Second reading - out for comparison with HF2749 - 4/26/16; HF substituted on General Orders HF2749 ,"Appropriations for the Board of Trustees of the Minnesota State Colleges and Universities: Appropriations for programs on system campuses that promote adoption of open textbooks. Programs must focus on review, creation, and promotion of new or existing open textbooks and on saving money for students while meeting the academic needs of faculty. This would also provide for an appropriation to expand and promote the open textbook library to faculty across the state.",Richard Cohen,Higher Ed,yes,no
2016,Minnesota,Legislation,SF 2719,HF 2499,https://www.revisor.mn.gov/bills/bill.php?b=Senate&f=SF2719&ssn=0&y=2016&keyword_type=exact&keyword=textbooks,Introduced and referred to Higher Education and Workforce Development - 3/14/16,Reduction in Textbook Cost to Students: The Board of Regents from Univ. of Minn. and Board of Trustees of Minn. State Colleges and Universities must enter agreement that includes planned strategies for reducing costs - these strategies may include increased use of open-source textbooks and related materials,"Vicki Jensen, Kathy Sheran, Foung Hawj, Matt Schmit, Kent Eken",Higher Ed,yes,no
2016,Minnesota,Legislation,SF 3091,,https://www.revisor.mn.gov/bills/bill.php?b=Senate&f=SF3091&ssn=0&y=2016&keyword_type=exact&keyword=open+textbooks,Introduced and referred to Higher Education and Workforce Development - 3/23/16,"Minnesota State Colleges and Universities open textbook pilot program:  An amount to be determined will be appropriated from the general fund to the Board of Trustees for pilot programs on system campuses that promote adoption of open textbooks. Programs must focus on the review, creation, and promotion of new or existing open textbooks and on saving money for students while meeting the academic needs of faculty. Money is also appropriated to expand and promote the open textbook library to faculty across the state.","Jeremy Miller, Susan Kent, Greg Clausen",Higher Ed,yes,no
2016,Mississippi,Legislation,HB 15,,http://index.ls.state.ms.us/isysnative/UzpcRG9jdW1lbnRzXDIwMTZccGRmXGhiXDAwMDEtMDA5OVxoYjAwMTVpbi5wZGY=/hb0015in.pdf#xml=http://10.240.72.35/isysquery/irlb322/1/hilite,Referred to Education - 2/8/16; Died in Committee - 2/23/16,This act would require all school districts to provide each K-12 student with an electronic learning device - these devices may be purchased with funds in the state textbook fund.,William Arnold,K-12,no,no
2016,Mississippi,Legislation,HB 1527,,http://billstatus.ls.state.ms.us/2016/pdf/history/HB/HB1527.xml,Referred to Education - 2/8/16; Died in Committee - 2/23/16,"This act authorizes the use of comparable alternatives to bound paper textbooks in pubic schools. Bound paper books and comparable alternatvies provided by the SBE shall be distributed and loaned free of cost to students. If a comparable alternative is being used and it is not possible to provide the comparable alternative to a student outside of the classroom setting, such as with distance learning modules or online learning materials, other compatible learning materials that correspond with the curriculum must be made available",Philip Gunn,K-12,no,no
2016,Mississippi,Legislation,HB 202,,http://billstatus.ls.state.ms.us/2016/pdf/history/HB/HB0202.xml,Referred to Education - 2/8/16; Died in Committee - 2/23/16,The Digital Access Learning and Virtual Instruction Program Act of 2016: This bill provides for the expansion of digital acess learning opportunities to all public school students. This Act would require the Dept. of Education to publish a list of approved digital learning and virtual instruction program providers that offer digital learning services - this includes access to quality digital learning content and online blended learning courses.,Charles Young,K-12,no,no
2016,Nebraska,Legislation,LB 1026,,http://nebraskalegislature.gov/bills/view_bill.php?DocumentID=28858,Indefinitely postponed - 4/20/16,"An Act Relating to Educational Technology: This Act establishes and supports digital academic content, textbooks, learning objects, courses and media systems in addition to a data network. This Act creates the Educational Technology Center which provides support for the integration of technology and innovation in Nebraska schools. Specifically, this will help to develop a statewide instructional improvement system that supports personal learning consisting of, among many things, a Nebraska open education resources library. ",Adam Morfeld,K-12,yes,no
2016,New Jersey,Legislation,A 2653,S 2619,http://www.njleg.state.nj.us/bills/BillView.asp?BillNumber=A2653,Introduced and referred to Assembly Higher Education Committee 2/8/16; For Preliminary Committee Action - to be reported preliminary - to be reported SCA - 10/17/16,"An Act Concerning College Textbooks: This requires institutions of higher education to develop open textbooks available to students at no charge. Within 180 days of the effective date of this act, higher education institutes are required to submit a plan to the Secretary of Higher Education to expand the use of open textbooks in order to achieve savings for students enrolled in the institution.","Nancy Pinkin, Mila Jasey, Wayne DeAngelo, Joe Danielson",Higher Ed,yes,no
2016,New Jersey,Legislation,S 2619,A 2653,http://www.njleg.state.nj.us/bills/BillView.asp?BillNumber=S2619,Passed the Senate (37-0) - 12/19/16; Received in the Assembly and referred to Assembly Higher Education Committee ,"An Act Concerning College Textbooks: This requires institutions of higher education to develop open textbooks available to students at no charge. Within 180 days of the effective date of this act, higher education institutes are required to submit a plan, created in consultation with faculty members at the institution, to the Secretary of Higher Education to expand the use of open textbooks in order to achieve savings for students enrolled in the institution.","Sandra B. Cunningham, Nilsa Cruz-Perez",Higher Ed,yes,no
2016,New York,Legislation,A 6377,,http://assembly.state.ny.us/leg/?bn=A06377&term=2015,Referred to Higher Education Committee 1/6/16,"This bill creates a task force to review the cost of textbooks, with a goal of finding ways to make materials more affordable through ways such as: open access textbooks and digital textbooks. The task force's report must be submitted by January 1, 2016 and it must include ways to promote the greater development, adoption, deployment, and use of open access textbooks in both digital and print formats for students and faculty in fiscally sustainable ways.",Chad Lupinacci,Higher Ed,yes,no
2016,New York,Legislation,S 7508,,http://nyassembly.gov/leg/?default_fld=&leg_video=&bn=S07508&term=2015&Summary=Y&Actions=Y,Introduced and referred to Higher Education Committee - 5/6/16,"This bill requires the boards of trustees of the state university of New York and the city university of New York each to conduct and report on the availability and accessibility of alternative high-quality, lower cost course resources in lieu of traditional textbooks - this may include OER, online textbooks, and other related educational materials",Hamilton,Higher Ed,yes,no
2016,North Carolina,Legislation,HB 660,,http://www.ncleg.net/gascripts/BillLookUp/BillLookUp.pl?Session=2015&BillID=H660&submitButton=Go,Passed House - 4/29/15; Passed first reading in Senate - 4/30/15; Referred to Committee on Rules and Operations of the Senate - 4/30/15,Transition to Personalized Digital Learning: This bill requires the State Board to provide access to digital learning resources for all K-12 public schools. This access must include access to open educational resources that are developed in North Carolina and elsewhere,"Craig Horn, Jason Saine, Charles Jeter, John Fraley",K-12,yes,no
2016,North Dakota,Legislation,HB 1261,,http://www.legis.nd.gov/assembly/64-2015/documents/15-0492-02000.pdf,Dead - failed to pass second reading in House,A Bill for an Act to Create a Higher Education Open Educational Resources Incentive Grant Program: This bill creates a higher education open educational resources incentive grant program. The grants may be awarded to academic faculty and instructional staff at institutions for salary performance bonuses or equipment and resources for the development and implementation of open educational resources,"Thomas Beadle, Kathy Hawken, Tom Kading, Jon Nelson, Kylie Oversen, Mark Sanford, Ray Holmberg, Karen Krebsbach",Higher Ed,yes,no
2016,Oregon,Rule,OAR-581-011-0080,,http://www.ode.state.or.us/superintendent/priorities/7.e_1-oar-581-011-0080-revision-with-track-changes.pdf,Adopted by Oregon Department of Education,"OAR-581-011-0080-revision: (3) The State Board authorizes the Department of Education to collect a bond or an irrevocable letter of credit up to $10,000. The Department may collect a lower bond amount when the following conditions are met: (a) the materials under contract are Open Educational Resources and (b) are submitted for review in their free ($0 cost to obtain content) format. Open Educational Resources (OER) are defined as teaching and learning resources that reside in the public domain or have been released under an open license that permits their free use and re-purposing by others.",Vanessa Clark ,K-12,yes,yes
2016,Pennsylvania,Legislation,HB 1578,,http://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2015&sind=0&body=H&type=B&bn=1578,Introduced in 2015; Amended - 6/13/16; Third consideration and final passage in House - 6/20/16; Referred to Senate Education Committee - 6/23/16,"E-chievement Program: Grants will be awarded to schools for hybrid learning, including digital instructional content, classroom management tools, operations support, technology and equipment, professional development, instructional coaching, consulting services, and planning assistance. Hybrid learning is defined as an instructional strategy that blends digital resources with classroom teaching. ","Fee, Bloom, R. Brown, Carroll, Causer, Cohen, Cutler, Davis, Diamond, Farry, Gibbons, Gingrich, Greiner, Grove, Hickernell, Kaufer, Killion, Mentzer, Miccarelli, Millard, B. Miller, Pickett, Rozzi, Saylor, Ward, Watson, Zimmerman, Santora, Schlegel, Culver, and MacKenzie",K-12,no,no
2016,Pennsylvania,Legislation,HB 2389,,http://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2015&sind=0&body=H&type=B&bn=2389,Introduced and referred to Education Committee - 10/4/16,"An Act providing for availability of electronic textbooks at institutions of higher education: This bill would require that any entity that publishes textbooks offered for sale at an institution of higher education shall, to the extent practicable, make the textbooks available for sale in electronic format.  ","Matzie, Nesbit, Readshaw, Kortz, D. Costa, Dunbar, Topper, Reese, Conklin, W. Keller, Rozzi, McClinton, Neilson, Petri",Higher Ed,no,no
2016,Pennsylvania,Legislation,SB 924,,http://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2015&sind=0&body=S&type=B&bn=0924,Introduced and referred to Education - 6/24/15,"E-chievement Program: Grants will be awarded to schools for hybrid learning, including digital instructional content, classroom management tools, operations support, technology and equipment, professional development, instructional coaching, consulting services, and planning assistance. Hybrid learning is defined as an instructional strategy that blends digital resources with classroom teaching. ","Aument, Scarnati, Rafferty, Alloway, Black, Gordner, Baker, Yudichak, Schwank, Argall, Mensch, Dinniman, Browne, Scavello, Stefano, Haywood",K-12,no,no
2016,South Carolina,Legislation,S 528,,http://www.scstatehouse.gov/query.php?search=DOC&searchtext=textbook&category=LEGISLATION&session=121&conid=8117264&result_pos=0&keyval=1210528&numrows=10,Senate Committee Report - Majority favorable with amendment; minority unfavorable Education - 3/26/15; Recommitted to Education Committee - 5/31/16,"This bill would provide a textbook policy for public institutions of higher education that is intended to help minimize college textbook costs. Institutions or affilitated bookstores are required to provide students with practical advise about purchasing textbooks, including whether electronic versions are available","Nikki Setzler, Harvey Peeler, Kevin Bryant",Higher Ed,no,no
2016,Tennessee,Legislation,HB 1058,SB 614,http://wapp.capitol.tn.gov/apps/BillInfo/Default.aspx?BillNumber=SB0614,Taken off notice for calendar in Education Instruction & Programs Subcommittee - 3/18/15; Sponsor added - 2/18/16,This bill requires a local board that chooses to furnish electronic textbooks and instructional materials to pupils attending school to also provide the public with reasonable access to view the electronic textbooks and instructional materials. ,James Van Huss,K-12,no,no
2016,Tennessee,Legislation,HB 2517,SB 2513,http://www.capitol.tn.gov/Bills/109/Bill/HB2517.pdf,Taken off notice for calendar in Education Administration and Planning Subcommittee of Education Administration and Planning - 3/15/16,Textbooks: Allows LEA's to use funds obtained by selling unusable or replaced textbooks for technology in addition to textbooks and instructional materials,Susan Lynn ,K-12,no,no
2016,Tennessee,Legislation,HB 2598,SB 2160,http://www.capitol.tn.gov/Bills/109/Bill/HB2598.pdf,Assigned to Education Administration & Planning Subcommittee - 1/27/16; Taken off notice for calendar in subcommittee - 3/1/16,"This bill states the board of regents shall not approve mandatory textbook fees for institutions operated by the board whereby a student's textbooks, either physical or digital, are supplied for a course or courses. A student shall always have complete choice concerning from whom and whether the student acquires the textbooks for the courses in which the student is enrolled.",Mike Sparks    ,Higher Ed,no,no
2016,Tennessee,Legislation,SB 2160,HB 2598,http://wapp.capitol.tn.gov/apps/BillInfo/Default.aspx?BillNumber=HB2598,Assigned to General Subcommittee of Senate Education Committee - 3/16/16,"This bill states the board of regents shall not approve mandatory textbook fees for institutions operated by the board whereby a student's textbooks, either physical or digital, are supplied for a course or courses. A student shall always have complete choice concerning from whom and whether the student acquires the textbooks for the courses in which the student is enrolled.",Reginald Tate,Higher Ed,no,no
2016,Tennessee,Legislation,SB 2513,HB 2517,http://wapp.capitol.tn.gov/apps/BillInfo/Default.aspx?BillNumber=SB2513&GA=109,Assigned to General Subcommittee of Senate Education Committee - 3/16/16,Textbooks: Allows LEA's to use funds obtained by selling unusable or replaced textbooks for technology in addition to textbooks and instructional materials,Dolores Gresham,K-12,no,no
